epoch,loss,lr,mean_absolute_error,patent_value_loss,val_loss,val_mean_absolute_error,val_patent_value_loss
0,0.07783440131562663,0.001,0.20211483807624936,9866.714590598225,0.06755163836698257,0.18119463555431992,8598.154466663094
1,0.06747225040409824,0.001,0.18418257109993544,8907.02442968494,0.06544344307988102,0.18496827327118479,8896.810294681327
2,0.06611749754539646,0.001,0.18137182290267537,8747.637449694508,0.06592730851207373,0.1848115746148399,9122.437880126501
3,0.06519132642617857,0.001,0.17951583898725626,8643.038753830228,0.06446455796424559,0.17769374915677036,8475.327083622042
4,0.06492638414239096,0.001,0.1791053599295157,8622.726252299724,0.06533356752809227,0.17974599825998572,8553.63686323763
5,0.06486065689709648,0.001,0.1788082887314156,8605.553382762697,0.06380366422270671,0.17457561899317284,8353.8065695153
6,0.06458457544761967,0.001,0.17812853267580717,8566.858703292499,0.06406336942508305,0.17638106817262517,8585.263078178581
7,0.06432451531557754,0.001,0.17778382331356402,8549.740226868298,0.06326705679313967,0.17601596814031964,8529.451184125925
8,0.06412059538655826,0.001,0.17737026377077605,8529.019530388117,0.06341080842086741,0.17618258665300635,8395.953636257907
9,0.06414780562867482,0.001,0.17765319540227825,8543.588359263531,0.06573923131042021,0.17822935400389828,8422.660524456962
10,0.06154692236237949,0.000100000005,0.1720681862009768,8242.282545453862,0.06116979850736606,0.1708726720176757,8171.803937501383
11,0.06116519679828915,0.000100000005,0.17089647287756526,8186.051507866894,0.06099794914914608,0.17230833049005712,8312.559397222913
12,0.06104605304229296,0.000100000005,0.1705228532469528,8167.809828531358,0.060921641779679236,0.1691453814068215,8024.624436659198
13,0.060958415178903894,0.000100000005,0.17028223198931278,8155.647837671756,0.06069820723798964,0.16906827382288178,8078.64438805909
14,0.060898065259139066,0.000100000005,0.1701370702293139,8148.641333605318,0.06077076769233048,0.16778511349232478,7943.407668600216
15,0.060880277335746746,0.000100000005,0.17007415444925425,8146.114038640317,0.060616065636199624,0.16940955024503915,8116.6971245211935
16,0.06045476278641968,1.0000001e-05,0.16885375365829916,8081.420356025216,0.06030474117451667,0.16842078700795893,8049.490079488904
17,0.060399385944221146,1.0000001e-05,0.16874575838255482,8076.972862077081,0.06028064964948079,0.16830739272132886,8042.612529431857
18,0.06037283019343185,1.0000001e-05,0.16870787707351564,8075.553095635662,0.06026486122882355,0.16956345932017705,8158.5584313058735
19,0.06035294361875123,1e-05,0.16867446467209074,8074.299789023136,0.06022969223197251,0.16907705432314857,8114.904587081117
20,0.06033247767144366,1e-05,0.16864548911881727,8073.132900817647,0.060213719457286166,0.16827116276958348,8064.693408214034
21,0.06031910476224939,1e-05,0.16860614238431335,8071.458437426348,0.060213859718477356,0.16784974433551073,8015.334061754242
22,0.06030138316794522,1e-05,0.16858610715154101,8070.3171188931465,0.06018326056323633,0.16832420551883467,8062.393263402841
23,0.06028664933375028,1e-05,0.16855546106435657,8069.4330647473835,0.06016768139729233,0.16850409574479963,8080.0106137586245
24,0.06027502182271314,1e-05,0.16850964691950882,8067.342931211035,0.060164645334505516,0.1686198531947788,8074.895590810865
25,0.06026179721287158,1e-05,0.168483251364612,8065.971673821583,0.060137687139170844,0.16808290152996486,8040.117606155575
26,0.06025145300141389,1e-05,0.1684502238179785,8064.252114744184,0.0601552027436815,0.16953025632468982,8156.109811822017
27,0.060241148322566,1e-05,0.168410273214109,8062.68997047389,0.06014403380345578,0.1678216906559438,8025.5361080965895
28,0.06023227770972392,1e-05,0.1683980967635149,8061.846786616445,0.06013010775831896,0.16850376602981024,8081.522571027039
29,0.0602232794138956,1e-05,0.16837168875687955,8060.9052415556325,0.06012237936565099,0.16771408562524248,8022.348006488116
